Name,PhysicalAddress,PostalAddress,Email,Phone
Amanbidji School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Amanbidgi (Kildirk)', 'displayAddress': 'N/A, Amanbidgi (Kildirk), NT'}","PMB 16, via Katherine, 0851, NT",Carolyn.tucker@education.nt.gov.au,(08) 9168 7380
Amoonguna School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Amoonguna', 'displayAddress': 'N/A, Amoonguna, NT'}","PO Box  2529,, Alice Springs, 0871, NT",cherie.gibbens@education.nt.gov.au,(08) 8952 3402
Anula Primary School,"{'description': '73 Yanyula Dr', 'state': 'NT', 'postCode': 'Anula, 0812', 'displayAddress': '73 Yanyula Dr, Anula, 0812, NT'}","Yanyula Drive, ANULA, 0812, NT",anula.admin@education.nt.gov.au,(08) 899 77500
Angurugu School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Angurugu', 'displayAddress': 'N/A, Angurugu, NT'}","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",admin.angurcec@education.nt.gov.au,(08) 8987 6355
Ampilatwatja School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Ampilatwatja (Ammaroo)', 'displayAddress': 'N/A, Ampilatwatja (Ammaroo), NT'}",", PMB 84, Alice Springs, 0872, NT",ann.adams@education.nt.gov.au,(08) 8956 9265
Zuccoli Primary School,"{'description': '130 Zuccoli Parade', 'state': 'NT', 'postCode': 'Zuccoli, 0830', 'displayAddress': '130 Zuccoli Parade, Zuccoli, 0830, NT'}","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@ntschools.net,(08) 792 30222
Yulara School,"{'description': '21 Winmati St', 'state': 'NT', 'postCode': 'Yulara, 0872', 'displayAddress': '21 Winmati St, Yulara, 0872, NT'}","PO Box 146, Yulara, 0872, NT",yulara.school@education.nt.gov.au,(08) 8956 2014
Yuendumu School,"{'description': 'Conniston Rd', 'state': 'NT', 'postCode': 'Yuendumu', 'displayAddress': 'Conniston Rd, Yuendumu, NT'}","C/ - Post Office, Yuendumu, 0870, NT",finance.yuendumu@education.nt.gov.au,(08) 8956 4011
Wurankuwu Homeland Learning Centre,"{'description': 'Community ID 868', 'state': 'NT', 'postCode': 'Wurankuwu', 'displayAddress': 'Community ID 868, Wurankuwu, NT'}","Nguiu, Bathurst Island, 0822, NT",tba,(08) 8978 3986
Yirrkala School,"{'description': 'Rankine Road', 'state': 'NT', 'postCode': 'Yirrkala', 'displayAddress': 'Rankine Road, Yirrkala, NT'}","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net,(08) 898 71988
Yirara College,"{'description': '470 South Stuart Highway', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '470 South Stuart Highway, Alice Springs, NT'}","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au,(08) 8950 5644
Yipirinya School,"{'description': 'Lovegrove Dr', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': 'Lovegrove Dr, Alice Springs, NT'}","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",yipirinya@yipirinya.com.au,(08) 8952 5633
Yarralin School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Yarralin', 'displayAddress': 'N/A, Yarralin, NT'}","PMB 34, via Katherine, 0851, NT",zoe.richardson@education.nt.gov.au,(08) 8975 0809
Xavier CEC,"{'description': 'Kerinauia Hwy', 'state': 'NT', 'postCode': 'Nguiu', 'displayAddress': 'Kerinauia Hwy, Nguiu, NT'}","PMB 139,, via Winnellie, 0822, NT",admin.xcec@nt.catholic.edu.au,(08) 8978 3970
Bakewell Primary School,"{'description': '1 Forrest Parade', 'state': 'NT', 'postCode': 'Bakewell, 0832', 'displayAddress': '1 Forrest Parade, Bakewell, 0832, NT'}","PO Box 1300, PALMERSTON, 0831, NT",admin.bakewell@education.nt.gov.au,(08) 899 77400
Wulagi Primary School,"{'description': '24 Brolga St', 'state': 'NT', 'postCode': 'Wulagi, 0812', 'displayAddress': '24 Brolga St, Wulagi, 0812, NT'}","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@education.nt.gov.au,(08) 898 37800
Watiyawanu School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Mt Liebig', 'displayAddress': 'N/A, Mt Liebig, NT'}","PMB 111, via Alice Springs, 0872, NT",l.kenny@education.nt.gov.au,(08) 8956 8555
Woolianna School,"{'description': 'Wooliana Rd', 'state': 'NT', 'postCode': 'Daly River', 'displayAddress': 'Wooliana Rd, Daly River, NT'}","PMB 194, Winnellie, 0821, NT",woolianna.school@education.nt.gov.au,(08) 8978 2984
Woolaning School,"{'description': 'Litchfield Park Rd', 'state': 'NT', 'postCode': 'Litchfield Park', 'displayAddress': 'Litchfield Park Rd, Litchfield Park, NT'}","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@education.nt.gov.au,(08) 8978 2334
Woodroffe Primary School,"{'description': '55 Woodroffe Ave', 'state': 'NT', 'postCode': 'Woodroffe, 0830', 'displayAddress': '55 Woodroffe Ave, Woodroffe, 0830, NT'}","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@education.nt.gov.au,(08) 898 37600
Willowra School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Willowra', 'displayAddress': 'N/A, Willowra, NT'}","PMB 102, via Alice Springs, 0872, NT",willowra.school@education.nt.gov.au,(08) 8956 8408
Wugularr School,"{'description': 'Laiwanga St', 'state': 'NT', 'postCode': 'Wugularr', 'displayAddress': 'Laiwanga St, Wugularr, NT'}","PMB 6, Katherine, 0851, NT",admin.wugulsch@education.nt.gov.au,(08) 8975 4529
Watarrka School,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Lilla Community', 'displayAddress': 'n/a, Lilla Community, NT'}","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",tba,(08) 8956 7758
Warruwi School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Warruwi (Goulburn Island), 0822', 'displayAddress': 'N/A, Warruwi (Goulburn Island), 0822, NT'}","PMB 90, via WINNELLIE, 0821, NT",samuel.robinson@education.nt.gov.au,(08) 8979 0222
Walungurru School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Walungurru (Kintore)', 'displayAddress': 'N/A, Walungurru (Kintore), NT'}","PMB 14, via Alice Springs, 0872, NT",walungurru.school@education.nt.gov.au,(08)  8964 6056
Top End School of Flexible Learning,"{'description': '1 Malak Place', 'state': 'NT', 'postCode': 'Malak, 0812', 'displayAddress': '1 Malak Place, Malak, 0812, NT'}","PO Box 703, Karama, 0812, NT",malakrc.det@education.nt.gov.au,(08) 899 77199
Wallace Rockhole School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Wallace Rockhole', 'displayAddress': 'N/A, Wallace Rockhole, NT'}","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@education.nt.gov.au,(08) 8956 7330
Wagaman Primary School,"{'description': '35 Wagaman Tce', 'state': 'NT', 'postCode': 'Wagaman, 0810', 'displayAddress': '35 Wagaman Tce, Wagaman, 0810, NT'}","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@education.nt.gov.au,(08) 8922 6011
Urapunga School,"{'description': 'Blyth St', 'state': 'NT', 'postCode': 'Rittarangu (Urapunga)', 'displayAddress': 'Blyth St, Rittarangu (Urapunga), NT'}","PMB 12, via Katherine, 0852, NT",craig.watkins@education.nt.gov.au,(08) 8975 4645
Wanguri Primary School,"{'description': '46 Gsell St', 'state': 'NT', 'postCode': 'Wanguri, 0810', 'displayAddress': '46 Gsell St, Wanguri, 0810, NT'}","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@education.nt.gov.au,(08) 8927 1655
Tivendale School,"{'description': 'Tivendale Road', 'state': 'NT', 'postCode': 'Berrimah, 0828', 'displayAddress': 'Tivendale Road, Berrimah, 0828, NT'}","PO Box 703, Karama, 0812, NT",john.mackay@education.nt.gov.au,(08) 899 95910
Tiwi College,"{'description': 'Pickertaramoor Melville Island', 'state': 'NT', 'postCode': None, 'displayAddress': 'Pickertaramoor Melville Island, , NT'}","LMB 127, Winnellie, 0822, NT",tiwi.college@ntschools.net,08 89709024
Titjikala School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Titjikala (Maryvale)', 'displayAddress': 'N/A, Titjikala (Maryvale), NT'}","PMB 130, via Alice Springs, 0872, NT",joanne.wickham@education.nt.gov.au,(08) 8956 0927
Tipperary Station School,"{'description': 'Daly River Road', 'state': 'NT', 'postCode': 'Tipperary', 'displayAddress': 'Daly River Road, Tipperary, NT'}","PMB 214, via Winnellie, 0822, NT",rosemary.sullivan@education.nt.gov.au,(08) 8978 2765
Ti Tree School,"{'description': '26 Palmer St', 'state': 'NT', 'postCode': 'Ti-Tree', 'displayAddress': '26 Palmer St, Ti-Tree, NT'}","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",ciaran.bailie@education.nt.gov.au,(08) 8956 9743
Timber Creek School,"{'description': '62 Wilson St', 'state': 'NT', 'postCode': 'Timber Creek', 'displayAddress': '62 Wilson St, Timber Creek, NT'}","PMB 115, via Katherine, 0851, NT",timbercreek.admin@education.nt.gov.au,(08) 8975 0714
Tennant Creek Primary School,"{'description': '31 Paterson St', 'state': 'NT', 'postCode': 'Tennant Creek, 0860', 'displayAddress': '31 Paterson St, Tennant Creek, 0860, NT'}","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@education.nt.gov.au,(08) 896 32424
Taminmin College,"{'description': '70 Challoner Cct', 'state': 'NT', 'postCode': 'Humpty Doo', 'displayAddress': '70 Challoner Cct, Humpty Doo, NT'}","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@education.nt.gov.au,(08) 898 37000
Tennant Creek High School,"{'description': '38 Stuart St', 'state': 'NT', 'postCode': 'Tennant Creek', 'displayAddress': '38 Stuart St, Tennant Creek, NT'}","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@education.nt.gov.au,(08) 8962 2102
Stuart Park Primary School,"{'description': '8 Nudl St', 'state': 'NT', 'postCode': 'Stuart Park, 0820', 'displayAddress': '8 Nudl St, Stuart Park, 0820, NT'}","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@education.nt.gov.au,(08) 899 77333
Stirling School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Wilora (Stirling Station) 0872', 'displayAddress': 'N/A, Wilora (Stirling Station) 0872, NT'}","Stirling Station, via Alice Springs, 0872, NT",lisa.donoghue@education.nt.gov.au,(08) 8956 9759
St Philip's College,"{'description': '2 Ulpaya Rd', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '2 Ulpaya Rd, Alice Springs, NT'}","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au,(08) 8950 4511
St Joseph's Flexible Learning Centre,"{'description': 'Youth Hub, 3 Wills Terrace, ', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': 'Youth Hub, 3 Wills Terrace, , Alice Springs, 0870, NT'}","P O Box 2991, Alice Springs, 0871, NT",sjcflc@ereafsn.edu.au,0408 568 357
St Pauls Catholic School,"{'description': '41 Francis St', 'state': 'NT', 'postCode': 'Rapid Creek', 'displayAddress': '41 Francis St, Rapid Creek, NT'}","PO Box 40344, Casuarina, 0811, NT",admin.stpauls@nt.catholic.edu.au,(08) 8985 1937
St Joseph's Catholic College,"{'description': 'Maluka Rd', 'state': 'NT', 'postCode': 'Katherine East', 'displayAddress': 'Maluka Rd, Katherine East, NT'}","PO Box 535, Katherine, 0850, NT",admin.stjosephs@nt.catholic.edu.au,(08) 89723555
St Francis Xavier School,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Nauiyu', 'displayAddress': 'n/a, Nauiyu, NT'}","PMB 28, Daly River, 0822, NT",dr.adminbox@nt.catholic.edu.au,(08) 8978 2427
St Francis of Assisi Catholic Primary School,"{'description': '56 Challoner Cct', 'state': 'NT', 'postCode': 'Humpty Doo', 'displayAddress': '56 Challoner Cct, Humpty Doo, NT'}","PO Box 921, Humpty Doo, , NT",admin.sfas@nt.catholic.edu.au,(08) 8988 1212
St Mary's Catholic School,"{'description': '3 Lindsay St', 'state': 'NT', 'postCode': 'Darwin City', 'displayAddress': '3 Lindsay St, Darwin City, NT'}","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au,(08) 8981 9796
St Johns Catholic College,"{'description': '54 Salonika St', 'state': 'NT', 'postCode': 'The Gardens', 'displayAddress': '54 Salonika St, The Gardens, NT'}","Mail Bag 13, Darwin, 0820, NT",admin.stjohns@nt.catholic.edu.au,(08) 8982 2222
St Andrew Lutheran School,"{'description': '94 Leanyer Dr', 'state': 'NT', 'postCode': 'Leanyer', 'displayAddress': '94 Leanyer Dr, Leanyer, NT'}","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0300
Shepherdson College,"{'description': 'Wakirana St', 'state': 'NT', 'postCode': 'Galiwinku, 0822', 'displayAddress': 'Wakirana St, Galiwinku, 0822, NT'}","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@education.nt.gov.au,(08) 8987 9044
School of Sport Education NT,"{'description': '1 Nemarluk Drive', 'state': 'NT', 'postCode': 'Ludmilla, NT, 0820', 'displayAddress': '1 Nemarluk Drive, Ludmilla, NT, 0820, NT'}","PO Box 42896, Casuarina, 0811, NT",admin.ssnt@education.nt.gov.au,(08) 899 95700
Sanderson Middle School,"{'description': '60 Matthews Rd', 'state': 'NT', 'postCode': 'Malak, 0812', 'displayAddress': '60 Matthews Rd, Malak, 0812, NT'}","PO Box 189, SANDERSON, 0813, NT",sanderson.middle@education.nt.gov.au,(08) 8927 8899
Sacred Heart Primary School,"{'description': '34 Emery Ave', 'state': 'NT', 'postCode': 'Woodroffe', 'displayAddress': '34 Emery Ave, Woodroffe, NT'}","PO Box 271, Palmerston, 0831, NT",admin.shps@nt.catholic.edu.au,(08) 8924 8700
SEDA College NT,"{'description': '5/90 Ross Smith Ave', 'state': 'NT', 'postCode': 'Fannie Bay, NT, 0820', 'displayAddress': '5/90 Ross Smith Ave, Fannie Bay, NT, 0820, NT'}","PO Box 42079, Casuarina, 0811, NT",info@sedacollege.nt.edu.au,1300 337 332
Royal Darwin Hospital School,"{'description': 'Rocklands Drive, Tiwi', 'state': 'NT', 'postCode': 'Tiwi, 0810', 'displayAddress': 'Rocklands Drive, Tiwi, Tiwi, 0810, NT'}","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",tania.nicholls@education.nt.gov.au,(08) 8922 8736
Sattler Christian College,"{'description': '15 Sattler Cres', 'state': 'NT', 'postCode': 'Freds Pass', 'displayAddress': '15 Sattler Cres, Freds Pass, NT'}","PO Box 1138,, Coolalinga, 0839, NT",admin.scc@ntschools.net,7922 1500
Rosebery Primary School,"{'description': 'Belyuen Road Rosebery', 'state': 'NT', 'postCode': 'Rosebery, 0832', 'displayAddress': 'Belyuen Road Rosebery, Rosebery, 0832, NT'}","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@education.nt.gov.au,(08) 792 30100
Ross Park Primary School,"{'description': '7 Winnecke Ave', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '7 Winnecke Ave, Alice Springs, 0870, NT'}","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net,(08) 895 52000
Rockhampton Downs School,"{'description': 'Community ID 259', 'state': 'NT', 'postCode': 'Wogyala', 'displayAddress': 'Community ID 259, Wogyala, NT'}","PMB 34, Tennant Creek, 0862, NT",emily.hubbert@education.nt.gov.au,(08) 8964 4675
Pigeon Hole School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Pigeon Hole', 'displayAddress': 'N/A, Pigeon Hole, NT'}","PMB 10, via Katherine, 0852, NT",john.leahy@education.nt.gov.au,(08) 8975 0812
Robinson River School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Robinson River', 'displayAddress': 'N/A, Robinson River, NT'}","PMB 145, Katherine, 0851, NT",chris.errington@education.nt.gov.au,(08) 8975 9956
Ramingining School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Ramingining, 0822', 'displayAddress': 'N/A, Ramingining, 0822, NT'}","PMB 125, via WINNELLIE, 0821, NT",sue.mcavoy@education.nt.gov.au,(08) 8979 7924
Pularumpi School,"{'description': 'Pularumpi', 'state': 'NT', 'postCode': 'Pirlangimpi', 'displayAddress': 'Pularumpi, Pirlangimpi, NT'}","PMB 51, via Winnellie, 0822, NT",roseanna.brunker@education.nt.gov.au,(08) 8978 3961
Pine Creek School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Pine Creek, 0847', 'displayAddress': 'N/A, Pine Creek, 0847, NT'}","PO Box 196, Pine Creek, 0847, NT",janet.purje@education.nt.gov.au,(08) 8976 1228
Peppimenarti School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Peppimenarti', 'displayAddress': 'N/A, Peppimenarti, NT'}","PMB 49, via Winnellie, 0822, NT",jen.robson@education.nt.gov.au,(08) 8978 2455
Parap Primary School,"{'description': '52 Urquhart Street', 'state': 'NT', 'postCode': 'Parap, 0820', 'displayAddress': '52 Urquhart Street, Parap, 0820, NT'}","PO Box 69, PARAP, 0804, NT",parapps.office@education.nt.gov.au,(08) 898 22922
Papunya School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Papunya, 0872', 'displayAddress': 'N/A, Papunya, 0872, NT'}","PMB 77, via Alice Springs, 0872, NT",christine.munro@education.nt.gov.au,(08) 8956 8515 or (08) 8956 8323
Palmerston College,"{'description': '10 Tilston Ave', 'state': 'NT', 'postCode': 'Driver, 0830', 'displayAddress': '10 Tilston Ave, Driver, 0830, NT'}","PO Box 8, PALMERSTON, , NT",Palmerston.college@education.nt.gov.au,(08) 899 77999
Palmerston Christian School,"{'description': '50 Waler Road, Marlow Lagoon', 'state': 'NT', 'postCode': 'Marlow Lagoon', 'displayAddress': '50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT'}","PO Box 113, Palmerston, 0831, NT",admin.pcs@ntschools.net,(08) 7922 5600
Owen Springs Education Centre,"{'description': 'Stuart Highway', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': 'Stuart Highway, Alice Springs, 0870, NT'}","PO Box 4856, Alice Springs, 0871, NT",joel.hohn@education.nt.gov.au,(08) 8958 5088 / (08) 8958 5089
OLSH Primary School,"{'description': '5 Bath St', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '5 Bath St, Alice Springs, NT'}","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400
OLSH College - Traeger Campus,"{'description': '8 Traeger Ave', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '8 Traeger Ave, Alice Springs, NT'}","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400
OLSH Thamarrurr Catholic College,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Wadeye (Port Keats)', 'displayAddress': 'n/a, Wadeye (Port Keats), NT'}","Wadeye, Port Keats, via Winnellie, 0822, NT",admin.olshtcs@nt.catholic.edu.au,(08) 8978 2477
OLSH College - Sadadeen Campus,"{'description': 'Sadadeen Rd', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': 'Sadadeen Rd, Alice Springs, NT'}","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400
O'Loughlin Catholic College,"{'description': '70 Mueller Rd', 'state': 'NT', 'postCode': 'Karama', 'displayAddress': '70 Mueller Rd, Karama, NT'}","P O Box 41911, Casuarina, 0811, NT",secretary.oloughlin@nt.catholic.edu.au,(08) 8945 1277
Nyirripi School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Nyirripi', 'displayAddress': 'N/A, Nyirripi, NT'}","PMB 125, via Alice Springs, 0872, NT",ken.millar@education.nt.gov.au,(08) 8956 8880
Nyangatjatjara College - Mutitjulu Campus,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Yulara', 'displayAddress': 'n/a, Yulara, NT'}","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.or.au,(08) 8956 2555
Nyangatjatjara College - Imanpa Campus,"{'description': 'not available', 'state': 'NT', 'postCode': 'not available', 'displayAddress': 'not available, not available, NT'}","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7038
Nyangatjatjara College - Docker Rvr Campus,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Kaltukatjara (Docker River)', 'displayAddress': 'N/A, Kaltukatjara (Docker River), NT'}","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7098
Numbulwar School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Numbulwar', 'displayAddress': 'N/A, Numbulwar, NT'}","PMB 68, WINELLIE, 0822, NT",lawry.mahon@education.nt.gov.au,(08) 8975 4650
Ntaria School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Hermannsburg (Ntaria)', 'displayAddress': 'N/A, Hermannsburg (Ntaria), NT'}","PMB 4, via Alice Springs, 0872, NT",ntariasch.admin@education.nt.gov.au,(08) 8956 7424
NT School of Distance Education,"{'description': 'The Bullocky Point Education Precinct, Atkins Dr', 'state': 'NT', 'postCode': 'The Gardens, 0820', 'displayAddress': 'The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT'}","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@education.nt.gov.au,(08) 892 22292
NT Music School,"{'description': '60 Matthews Rd', 'state': 'NT', 'postCode': 'Wulagi 0812', 'displayAddress': '60 Matthews Rd, Wulagi 0812, NT'}","PO Box 455, Sanderson, 0813, NT",nt.musicschool@education.nt.gov.au,(08) 896 35550
Nightcliff Primary School,"{'description': '17 Pandanus St', 'state': 'NT', 'postCode': 'Nightcliff, 0810', 'displayAddress': '17 Pandanus St, Nightcliff, 0810, NT'}","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@education.nt.gov.au,(08) 8948 8488
Nightcliff Middle School,"{'description': '90 Aralia St', 'state': 'NT', 'postCode': 'Rapid Creek, 0810', 'displayAddress': '90 Aralia St, Rapid Creek, 0810, NT'}","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@education.nt.gov.au,(08) 898 37677
Nhulunbuy Christian School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Nhulunbuy', 'displayAddress': 'N/A, Nhulunbuy, NT'}","PO Box 621, Nhulunbuy, 0881, NT",admin.ncc@ntschools.net,(08) 8965 2900
Ngukurr School,"{'description': 'Bawuda St', 'state': 'NT', 'postCode': 'Ngukurr, 0852', 'displayAddress': 'Bawuda St, Ngukurr, 0852, NT'}","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@education.nt.gov.au,(08) 8975 4680
Nganmarriyanga School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Palumpa', 'displayAddress': 'N/A, Palumpa, NT'}","PMB 85, via WINNELLIE, 0822, NT",tim.webb@education.nt.gov.au,(08) 8978 2380
Nhulunbuy High School,"{'description': '51 Matthew Flinders Way', 'state': 'NT', 'postCode': 'Nhulunbuy, 0880', 'displayAddress': '51 Matthew Flinders Way, Nhulunbuy, 0880, NT'}","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@education.nt.gov.au,(08) 898 70844
Nhulunbuy Primary School,"{'description': '60 Chesterfield Cct', 'state': 'NT', 'postCode': 'Nhulunbuy, 0880', 'displayAddress': '60 Chesterfield Cct, Nhulunbuy, 0880, NT'}","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@education.nt.gov.au,(08) 898 70022
Nganambala School,"{'description': 'n/a', 'state': 'NT', 'postCode': 'Emu Point', 'displayAddress': 'n/a, Emu Point, NT'}","PMB 218, Via Winnellie, 0822, NT",samuel.sailor@education.nt.gov.au,(08) 8978 2001
Newcastle Waters School,"{'description': '11 Drovers Dr', 'state': 'NT', 'postCode': 'Newcastle Waters', 'displayAddress': '11 Drovers Dr, Newcastle Waters, NT'}","Newcastle Waters Station, via Elliott, 0862, NT",rhianne.obst@education.nt.gov.au,(08) 8964 4566
Neutral Junction School,"{'description': 'Stuart Hwy', 'state': 'NT', 'postCode': 'Neutral Junction', 'displayAddress': 'Stuart Hwy, Neutral Junction, NT'}","Neutral Junction, via Alice Springs, 0872, NT",ruth.rawnsley@education.nt.gov.au,(08) 8956 9754
Nemarluk School,"{'description': '30 Styles St', 'state': 'NT', 'postCode': 'Alawa, 0810', 'displayAddress': '30 Styles St, Alawa, 0810, NT'}","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@education.nt.gov.au,(08) 898 50400
Murrupurtiyanuwu Catholic Primary School,"{'description': 'Kerinauia Highway', 'state': 'NT', 'postCode': 'Nguiu', 'displayAddress': 'Kerinauia Highway, Nguiu, NT'}","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",admin.mcs@nt.catholic.edu.au,(08) 8978 3986
